gene_id,gene_short_name,cell_group,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value,partition_assignment
ENSG00000172232,AZU1,8,0.2368555904453528,10.687551712271365,0.6500726995776501,0.36435246488467676,0.13246339683903297,1.0770806119092188e-176,3.9561278583486797e-171,Blast 1
ENSG00000179218,CALR,8,0.22269586949735407,4.830763088048838,0.9328394377899328,0.23872904647445148,0.21428718228767824,1.9218760207368377e-285,7.059069842926612e-280,Blast 1
ENSG00000126264,HCST,8,0.2252707026844554,3.6254733285623155,0.9581111957349581,0.23511958078274242,0.2852695732733976,0,0,Blast 1
ENSG00000105472,CLEC11A,8,0.29431387668904324,1.868077915796279,0.8084885411618085,0.36402974402841926,0.26619254005980103,0,0,Blast 1
ENSG00000105383,CD33,8,0.2762705065577116,0.6928076845401994,0.6622585335456622,0.4171641323798253,0.19753535582288365,3.990335251203049e-263,1.465654128102131e-257,Blast 1
ENSG00000125505,MBOAT7,8,0.22084688511039752,0.71368557136832,0.6403101848646403,0.3449060944690172,0.14825304456269064,1.2498014800455757e-197,4.5905333342222e-192,Blast 1
ENSG00000100097,LGALS1,8,0.2862920332732264,8.515482794464655,0.9357474208959358,0.3059501173929122,0.27624151443582856,0,0,Blast 1
ENSG00000135821,GLUL,9,0.46730913165428184,13.055257879334103,0.8035714285714286,0.5815402527253285,0.36823802145600043,2.5926492331425496e-35,9.522826559824915e-30,Blast 2
ENSG00000116741,RGS2,9,0.43704807562566583,7.960635772967495,0.75,0.5827307675008878,0.36390324180432004,6.452796480991419e-35,2.3701186002646292e-29,Blast 2
ENSG00000081237,PTPRC,9,0.2598544119623558,6.174167802226756,0.7678571428571429,0.3384150481370215,0.15466874252192225,9.399318207634124e-16,3.4523789769822213e-10,Blast 2
ENSG00000266094,RASSF5,9,0.2140250676564152,2.5929900176806657,0.4107142857142857,0.5211045125547501,0.12936285554929644,2.0179972006981882e-13,7.412123898136452e-8,Blast 2
ENSG00000203710,CR1,9,0.20281784356536264,1.4387116361873333,0.30357142857142855,0.668105837627077,0.16175846697338167,2.0932696242498743e-16,7.688600262566031e-11,Blast 2
ENSG00000168264,IRF2BP2,9,0.3740133607398942,10.209425298506792,0.875,0.4274438408455934,0.32255480026202155,3.8752480775086027e-31,1.4233824941169872e-25,Blast 2
